dataset_version,generator_version,split,case_origin,semantic_case_id,document_id,template_id,layout_scope,condition,perturbation_id,dpi,renderer,rotation_degrees,blur_radius,contrast_factor,jpeg_quality,source_row_sha256,source_text_path,ground_truth_path,pdf_path,image_path,pdf_sha256,image_sha256
pilot-v5,5.0.0,formal,fresh-v5,MEL-202,MEL-202-B,B,known_fixed_layout_family,clean,none,160,pypdfium2-5.12.1,0,0,1,,9eae48cb842b6215a2fa3b146e40c4953d59ba1eb202d2c88e2fed7f0b93efea,data/v5/source_text/MEL-202-B.txt,data/v5/ground_truth/MEL-202-B.json,output/v5/pdf/clean/MEL-202-B.pdf,output/v5/rendered/clean/MEL-202-B.png,badaac1ea3bdcabe60f040475c24709b4b807c9150b909fa382097feaa081371,eb5faa67845f2de5404e645587e1aa35d757556631f5d3b250c56a99ad45001b
pilot-v5,5.0.0,formal,fresh-v5,MEL-202,MEL-202-B,B,known_fixed_layout_family,ocr_degraded,scan-v5,160,pypdfium2-5.12.1,-0.352,0.823,0.887,70,9eae48cb842b6215a2fa3b146e40c4953d59ba1eb202d2c88e2fed7f0b93efea,data/v5/source_text/MEL-202-B.txt,data/v5/ground_truth/MEL-202-B.json,output/v5/pdf/ocr_degraded/MEL-202-B.pdf,output/v5/rendered/ocr_degraded/MEL-202-B.png,b6cefbf8f59f004e0ac8355553e849905bd1894a3e57a77c443ac955a39b863d,6b5ed9991e5de3d57902f427586d2518861e54655bb8cc5beea7b369a6c1aefb
pilot-v5,5.0.0,formal,fresh-v5,MEL-203,MEL-203-A,A,known_fixed_layout_family,clean,none,160,pypdfium2-5.12.1,0,0,1,,229501583091bbfde7fa054fe302a319e425f96482e509cb948687646f31a363,data/v5/source_text/MEL-203-A.txt,data/v5/ground_truth/MEL-203-A.json,output/v5/pdf/clean/MEL-203-A.pdf,output/v5/rendered/clean/MEL-203-A.png,f9a3435421a0b59ff3862c8e6c5248dfffd4c82107d437da0926a7b319778e19,53c9656bd79c6a90c6716f22b02a2721d28be476f23421d519111953f21c4909
pilot-v5,5.0.0,formal,fresh-v5,MEL-203,MEL-203-A,A,known_fixed_layout_family,ocr_degraded,scan-v5,160,pypdfium2-5.12.1,-0.358,0.609,0.859,67,229501583091bbfde7fa054fe302a319e425f96482e509cb948687646f31a363,data/v5/source_text/MEL-203-A.txt,data/v5/ground_truth/MEL-203-A.json,output/v5/pdf/ocr_degraded/MEL-203-A.pdf,output/v5/rendered/ocr_degraded/MEL-203-A.png,8f3a7ed960b2c12f9cc775b4d425d3848d3b0414a1d1d5cff6447df04456bcf0,5e098a3aa9ea86e1f0fee8a18ad9ead7a9a041d1e36b60a236c3674e8e93a6e8
pilot-v5,5.0.0,formal,fresh-v5,MEL-203,MEL-203-B,B,known_fixed_layout_family,clean,none,160,pypdfium2-5.12.1,0,0,1,,229501583091bbfde7fa054fe302a319e425f96482e509cb948687646f31a363,data/v5/source_text/MEL-203-B.txt,data/v5/ground_truth/MEL-203-B.json,output/v5/pdf/clean/MEL-203-B.pdf,output/v5/rendered/clean/MEL-203-B.png,6365ced2096cbbdd27695c37e11327fef5389dd80ea31b144e16f027bd99d749,444082f5478eaf5f8e3db1e8db28d8e373d3fa482e74a6819375be04748c3d64
pilot-v5,5.0.0,formal,fresh-v5,MEL-203,MEL-203-B,B,known_fixed_layout_family,ocr_degraded,scan-v5,160,pypdfium2-5.12.1,-0.47,0.735,0.844,68,229501583091bbfde7fa054fe302a319e425f96482e509cb948687646f31a363,data/v5/source_text/MEL-203-B.txt,data/v5/ground_truth/MEL-203-B.json,output/v5/pdf/ocr_degraded/MEL-203-B.pdf,output/v5/rendered/ocr_degraded/MEL-203-B.png,ca042d1c182db68af08d057b44e036fd696a0688e6d3b94fadc2b4d5d484c69d,5643f63d049ee2ac7c2d2f825dee1bca68a45eb3d7824d0e970ee906a2aa4ee3
pilot-v5,5.0.0,formal,fresh-v5,MEL-204,MEL-204-A,A,known_fixed_layout_family,clean,none,160,pypdfium2-5.12.1,0,0,1,,d838cee763b4099048449e4bcdb8883aa8e90f86cac90a9dcdf942ff9bb305fe,data/v5/source_text/MEL-204-A.txt,data/v5/ground_truth/MEL-204-A.json,output/v5/pdf/clean/MEL-204-A.pdf,output/v5/rendered/clean/MEL-204-A.png,2451d869cddd34e5ebb9f9a05f952c9b667c80c21689edfc31f65e7fd15e93db,9af78547158db58506f9a38fcb36b95e9ffd9e529f93b18228e6703118cc7759
pilot-v5,5.0.0,formal,fresh-v5,MEL-204,MEL-204-A,A,known_fixed_layout_family,ocr_degraded,scan-v5,160,pypdfium2-5.12.1,0.382,0.715,0.839,69,d838cee763b4099048449e4bcdb8883aa8e90f86cac90a9dcdf942ff9bb305fe,data/v5/source_text/MEL-204-A.txt,data/v5/ground_truth/MEL-204-A.json,output/v5/pdf/ocr_degraded/MEL-204-A.pdf,output/v5/rendered/ocr_degraded/MEL-204-A.png,82dab40ed472136064b0e3845629054cbc9428a4b7c7604de54bd69ced64fbb3,5a332eff580c85e3662927cb555e78730db53e7ccaeeaaacbef0e1e53540bfd4
pilot-v5,5.0.0,formal,fresh-v5,MEL-204,MEL-204-B,B,known_fixed_layout_family,clean,none,160,pypdfium2-5.12.1,0,0,1,,d838cee763b4099048449e4bcdb8883aa8e90f86cac90a9dcdf942ff9bb305fe,data/v5/source_text/MEL-204-B.txt,data/v5/ground_truth/MEL-204-B.json,output/v5/pdf/clean/MEL-204-B.pdf,output/v5/rendered/clean/MEL-204-B.png,ebd00de16f67232942e66b9ff3b3e99e75afac962f9f23d80450a1fbe0889557,8a72d761e4758a29c71735b3bcfec9191a0e716179e41a58c83e4a47d8663bf8
pilot-v5,5.0.0,formal,fresh-v5,MEL-204,MEL-204-B,B,known_fixed_layout_family,ocr_degraded,scan-v5,160,pypdfium2-5.12.1,-0.585,0.812,0.828,60,d838cee763b4099048449e4bcdb8883aa8e90f86cac90a9dcdf942ff9bb305fe,data/v5/source_text/MEL-204-B.txt,data/v5/ground_truth/MEL-204-B.json,output/v5/pdf/ocr_degraded/MEL-204-B.pdf,output/v5/rendered/ocr_degraded/MEL-204-B.png,b96d78dd5f4f58d3f328d6fc792eb3299519314aae3382e536f2c62320200f24,b55f9ea435638ede943409137d81ac5a27b9879159c7a3274b994af5f7b8b88e
pilot-v5,5.0.0,formal,fresh-v5,MEL-205,MEL-205-A,A,known_fixed_layout_family,clean,none,160,pypdfium2-5.12.1,0,0,1,,6b398fa4c8731524c8c2cebb8ebe1d075a210e31360f8b26fecd53be306537ff,data/v5/source_text/MEL-205-A.txt,data/v5/ground_truth/MEL-205-A.json,output/v5/pdf/clean/MEL-205-A.pdf,output/v5/rendered/clean/MEL-205-A.png,8ff098827402973cc15da413a7e35733d7e9f1b01be2eec533d6955a8d2a771e,29ef4fad65c12c1d2654d54bc1c92eb00efaf4f2bbf7fc6e7bcfbba6d84bcb9f
pilot-v5,5.0.0,formal,fresh-v5,MEL-205,MEL-205-A,A,known_fixed_layout_family,ocr_degraded,scan-v5,160,pypdfium2-5.12.1,0.492,0.588,0.855,70,6b398fa4c8731524c8c2cebb8ebe1d075a210e31360f8b26fecd53be306537ff,data/v5/source_text/MEL-205-A.txt,data/v5/ground_truth/MEL-205-A.json,output/v5/pdf/ocr_degraded/MEL-205-A.pdf,output/v5/rendered/ocr_degraded/MEL-205-A.png,9805ca1ed8531a875aa34e26a94d104eb5aeb485d1a39ac7acc9112f6931f5c1,4d968683f1eba512e60044c1ebf4d716675ca772eda42bb3cea36816f3744387
pilot-v5,5.0.0,formal,fresh-v5,MEL-205,MEL-205-B,B,known_fixed_layout_family,clean,none,160,pypdfium2-5.12.1,0,0,1,,6b398fa4c8731524c8c2cebb8ebe1d075a210e31360f8b26fecd53be306537ff,data/v5/source_text/MEL-205-B.txt,data/v5/ground_truth/MEL-205-B.json,output/v5/pdf/clean/MEL-205-B.pdf,output/v5/rendered/clean/MEL-205-B.png,b9ad27ab738773d16d0afe4ab4b890a2c8f884a7655e1acf8b7c21e1d2925b3f,1efa583270ba35807a6e7fba9ed5b317ffc569fa031ee5d530275142ce8634c9
pilot-v5,5.0.0,formal,fresh-v5,MEL-205,MEL-205-B,B,known_fixed_layout_family,ocr_degraded,scan-v5,160,pypdfium2-5.12.1,-0.546,0.638,0.869,59,6b398fa4c8731524c8c2cebb8ebe1d075a210e31360f8b26fecd53be306537ff,data/v5/source_text/MEL-205-B.txt,data/v5/ground_truth/MEL-205-B.json,output/v5/pdf/ocr_degraded/MEL-205-B.pdf,output/v5/rendered/ocr_degraded/MEL-205-B.png,b5ff42cf1174fdb1ed17e61857215c1957126e7c3ec21d0ae99663445d8f2464,9f0d1810834d81e434b9f13f73a3f2518f5fbc1c2546a02db98dc3654ab8d184
