dataset_version,generator_version,split,case_origin,artifact_origin,semantic_case_id,document_id,template_id,condition,perturbation_id,dpi,renderer,rotation_degrees,blur_radius,contrast_factor,jpeg_quality,source_row_sha256,source_text_path,ground_truth_path,pdf_path,image_path,pdf_sha256,image_sha256
pilot-v4,4.0.0,formal,v3_unexecuted_formal,v3_byte_identical_regeneration,MEL-107,MEL-107-A,A,ocr_degraded,scan-v3,160,pypdfium2-5.12.1,0.569,0.591,0.833,65,8c388fba91d33bd3ccc68eda16adc86b6e297eb312eb28355f725f926a26d738,data/v4/source_text/MEL-107-A.txt,data/v4/ground_truth/MEL-107-A.json,output/v4/pdf/ocr_degraded/MEL-107-A.pdf,output/v4/rendered/ocr_degraded/MEL-107-A.png,e9510c0fa407c963ec7b2a462ddd2563a210f8dd560b1bd56128d23caa65dcc4,f72692fde9dfb5a3bb16a1d0fdbb302a921cb153387bdf81de18a2b32acfa2de
pilot-v4,4.0.0,formal,v3_unexecuted_formal,v3_byte_identical_regeneration,MEL-107,MEL-107-B,B,clean,none,160,pypdfium2-5.12.1,0,0,1,,8c388fba91d33bd3ccc68eda16adc86b6e297eb312eb28355f725f926a26d738,data/v4/source_text/MEL-107-B.txt,data/v4/ground_truth/MEL-107-B.json,output/v4/pdf/clean/MEL-107-B.pdf,output/v4/rendered/clean/MEL-107-B.png,5ef943a0dad598575b01fd56369fb5f8e620b7e72603007dd690e616f0152442,22aa88e438fbf35904a893f7be2a0f949e9b80294a665530c3c8f880a17071fc
pilot-v4,4.0.0,formal,v3_unexecuted_formal,v3_byte_identical_regeneration,MEL-107,MEL-107-B,B,ocr_degraded,scan-v3,160,pypdfium2-5.12.1,-0.435,0.701,0.853,64,8c388fba91d33bd3ccc68eda16adc86b6e297eb312eb28355f725f926a26d738,data/v4/source_text/MEL-107-B.txt,data/v4/ground_truth/MEL-107-B.json,output/v4/pdf/ocr_degraded/MEL-107-B.pdf,output/v4/rendered/ocr_degraded/MEL-107-B.png,1e8cccebfedfb5c0f9bf46d349a13f5f16e548cfbcc61d57ed46970d08e25c2f,97b014efae38b7eaf4473cf7178516d28ce8567650c69bb7bb9aa6801b95f6f5
pilot-v4,4.0.0,formal,v3_unexecuted_formal,v3_byte_identical_regeneration,MEL-108,MEL-108-A,A,clean,none,160,pypdfium2-5.12.1,0,0,1,,4d73faeb1fdf3f3271175543aca0b417b27a405897bf610807cffe2700cffa60,data/v4/source_text/MEL-108-A.txt,data/v4/ground_truth/MEL-108-A.json,output/v4/pdf/clean/MEL-108-A.pdf,output/v4/rendered/clean/MEL-108-A.png,b95edc88ea68511e513ab01834a8c603cefa16e188cdf6c781c8c29e71124e07,c5d5be98253c725923f40745ac81f8bf5a00c52ba5cf4fbd0e165fce7b70fd69
pilot-v4,4.0.0,formal,v3_unexecuted_formal,v3_byte_identical_regeneration,MEL-108,MEL-108-A,A,ocr_degraded,scan-v3,160,pypdfium2-5.12.1,0.558,0.574,0.848,58,4d73faeb1fdf3f3271175543aca0b417b27a405897bf610807cffe2700cffa60,data/v4/source_text/MEL-108-A.txt,data/v4/ground_truth/MEL-108-A.json,output/v4/pdf/ocr_degraded/MEL-108-A.pdf,output/v4/rendered/ocr_degraded/MEL-108-A.png,cdd33f104a80062779dfd82c8a3e8709128e3924a9bd351561842c097a2dfc5d,7f2cd019238e2a922b9591bae6bb2ac12fdcbaa688e016b13b9b9042a387dc0f
pilot-v4,4.0.0,formal,v3_unexecuted_formal,v3_byte_identical_regeneration,MEL-108,MEL-108-B,B,clean,none,160,pypdfium2-5.12.1,0,0,1,,4d73faeb1fdf3f3271175543aca0b417b27a405897bf610807cffe2700cffa60,data/v4/source_text/MEL-108-B.txt,data/v4/ground_truth/MEL-108-B.json,output/v4/pdf/clean/MEL-108-B.pdf,output/v4/rendered/clean/MEL-108-B.png,23a9431d9f2355b4bca9c6b7a41404e41a2c36c97adc30b3ea7b14430e46730f,b1c0ddf47ad54ca54adae2e20213f19ffda71abb5a1f99591739e5152281ae83
pilot-v4,4.0.0,formal,v3_unexecuted_formal,v3_byte_identical_regeneration,MEL-108,MEL-108-B,B,ocr_degraded,scan-v3,160,pypdfium2-5.12.1,-0.384,0.824,0.834,61,4d73faeb1fdf3f3271175543aca0b417b27a405897bf610807cffe2700cffa60,data/v4/source_text/MEL-108-B.txt,data/v4/ground_truth/MEL-108-B.json,output/v4/pdf/ocr_degraded/MEL-108-B.pdf,output/v4/rendered/ocr_degraded/MEL-108-B.png,06c06de96776b29e5b9f58dfe8cc480027fcd538a573809974e4b78e785f368d,43fd24abf7cd6ec83dd3760f6d8a5f50508c8626f50b89916a7d31179f57080e
pilot-v4,4.0.0,formal,new_v4_formal,v4_new,MEL-109,MEL-109-A,A,clean,none,160,pypdfium2-5.12.1,0,0,1,,f2b7af00ca8252df1c853ed6aa842da4e3146dc16265594f06330bc1dc768425,data/v4/source_text/MEL-109-A.txt,data/v4/ground_truth/MEL-109-A.json,output/v4/pdf/clean/MEL-109-A.pdf,output/v4/rendered/clean/MEL-109-A.png,269625726c6e6ebd83a2224c16b6d5a2492958d2bb01fe415af4c1e411fcea76,9ee706037f2df2087dd87c1f295a346e3b7c36914ff60423a19de3c1e48eac91
pilot-v4,4.0.0,formal,new_v4_formal,v4_new,MEL-109,MEL-109-A,A,ocr_degraded,scan-v4,160,pypdfium2-5.12.1,0.443,0.801,0.876,63,f2b7af00ca8252df1c853ed6aa842da4e3146dc16265594f06330bc1dc768425,data/v4/source_text/MEL-109-A.txt,data/v4/ground_truth/MEL-109-A.json,output/v4/pdf/ocr_degraded/MEL-109-A.pdf,output/v4/rendered/ocr_degraded/MEL-109-A.png,5a54214ec3d0987fa1186a084c07009029d7ab071a99395e006dabfe42ba8237,47f05847818ec9cbffb96aeca0403518dd4504bc6d4c70908aca1ef5b2a88c31
pilot-v4,4.0.0,formal,new_v4_formal,v4_new,MEL-109,MEL-109-B,B,clean,none,160,pypdfium2-5.12.1,0,0,1,,f2b7af00ca8252df1c853ed6aa842da4e3146dc16265594f06330bc1dc768425,data/v4/source_text/MEL-109-B.txt,data/v4/ground_truth/MEL-109-B.json,output/v4/pdf/clean/MEL-109-B.pdf,output/v4/rendered/clean/MEL-109-B.png,be65e201bd0985f2baefbbe3453e9a5565e85a740136390b0e745bd48317588d,46bcec35a2fd48657983fa5ee86b0c95a89ed26e776779764c8b4fbf3ebf8469
pilot-v4,4.0.0,formal,new_v4_formal,v4_new,MEL-109,MEL-109-B,B,ocr_degraded,scan-v4,160,pypdfium2-5.12.1,-0.494,0.803,0.852,72,f2b7af00ca8252df1c853ed6aa842da4e3146dc16265594f06330bc1dc768425,data/v4/source_text/MEL-109-B.txt,data/v4/ground_truth/MEL-109-B.json,output/v4/pdf/ocr_degraded/MEL-109-B.pdf,output/v4/rendered/ocr_degraded/MEL-109-B.png,c879ffff641681d4e6ea9ae742a5b59c1cb85e02bb1f9688385361617a640f27,6098d14eb3f3991008edf1ac10ee1a0e41b455ea7a53991893833a5e6914c64b
