dataset_version,generator_version,semantic_case_id,document_id,template_id,condition,perturbation_id,dpi,renderer,rotation_degrees,blur_radius,contrast_factor,jpeg_quality,source_row_sha256,source_text_path,ground_truth_path,pdf_path,image_path,pdf_sha256,image_sha256
pilot-v1,1.0.0,MEL-003,MEL-003-B,B,clean,none,160,pypdfium2-5.12.1,0,0,1,,e340f895990129ed077d1273227106ae937ef133ab90e23a7720e3998956ee60,data/source_text/MEL-003-B.txt,data/ground_truth/MEL-003-B.json,output/pdf/clean/MEL-003-B.pdf,output/rendered/clean/MEL-003-B.png,37a97bcb59e8b9b254922a6ca7683f5c2313aee0f4130dd2733cb37bf073ae3f,d3cbbd1a1fe6baa5679b1edf374cd3557e51a2173d403985be0426124a52620d
pilot-v1,1.0.0,MEL-003,MEL-003-B,B,ocr_degraded,scan-v1,160,pypdfium2-5.12.1,0.41,0.838,0.892,61,e340f895990129ed077d1273227106ae937ef133ab90e23a7720e3998956ee60,data/source_text/MEL-003-B.txt,data/ground_truth/MEL-003-B.json,output/pdf/ocr_degraded/MEL-003-B.pdf,output/rendered/ocr_degraded/MEL-003-B.png,ab5cb31d60874d3b3e326f0ed86b4c38270b5cbf5bc98fdb193dafac394e3b98,d7d28329c13e1aaf0d509fa2c9a7f75a525f6e9e8438b3926226d9fa2c7ecb72
pilot-v1,1.0.0,MEL-004,MEL-004-A,A,clean,none,160,pypdfium2-5.12.1,0,0,1,,c5f9c2a68af2c47c68d31ddbd66947d918d5d5372b900c7c2537b2740a9ae5b9,data/source_text/MEL-004-A.txt,data/ground_truth/MEL-004-A.json,output/pdf/clean/MEL-004-A.pdf,output/rendered/clean/MEL-004-A.png,9f96bb66b1393be8e038b73f30fc8c456779182df1631eef58953bf7d859764e,c30fc2d4985d9673747fa51e038eb317ae54923483fdb212bf38028035bff443
pilot-v1,1.0.0,MEL-004,MEL-004-A,A,ocr_degraded,scan-v1,160,pypdfium2-5.12.1,0.597,0.776,0.84,58,c5f9c2a68af2c47c68d31ddbd66947d918d5d5372b900c7c2537b2740a9ae5b9,data/source_text/MEL-004-A.txt,data/ground_truth/MEL-004-A.json,output/pdf/ocr_degraded/MEL-004-A.pdf,output/rendered/ocr_degraded/MEL-004-A.png,d09f8e65b20d94af2260ec8a40f6e5131689c6c0e0339a0bcefc9819e9645202,a289415d5bc438c3118434f2777c5dce7aa59e6a745b23930f371d9e28509592
pilot-v1,1.0.0,MEL-004,MEL-004-B,B,clean,none,160,pypdfium2-5.12.1,0,0,1,,c5f9c2a68af2c47c68d31ddbd66947d918d5d5372b900c7c2537b2740a9ae5b9,data/source_text/MEL-004-B.txt,data/ground_truth/MEL-004-B.json,output/pdf/clean/MEL-004-B.pdf,output/rendered/clean/MEL-004-B.png,1ac1da707a299737ea4ae593c676fbdf31e4bddf7d5bb89fd74722e2b1183911,5b3d1a7b407fd48daf8ebda89e5364318ae3c52dd2d93f2a510f9e1cd787413e
pilot-v1,1.0.0,MEL-004,MEL-004-B,B,ocr_degraded,scan-v1,160,pypdfium2-5.12.1,0.351,0.799,0.865,61,c5f9c2a68af2c47c68d31ddbd66947d918d5d5372b900c7c2537b2740a9ae5b9,data/source_text/MEL-004-B.txt,data/ground_truth/MEL-004-B.json,output/pdf/ocr_degraded/MEL-004-B.pdf,output/rendered/ocr_degraded/MEL-004-B.png,e0a3b4a877089dac19c340cf0380d9c0c30303554eeb27c006597cc0c1b95f74,c8ac7d59feb07551de11b2899899d4eabf9a0387e93af278b88dda08944a8437
pilot-v1,1.0.0,MEL-005,MEL-005-A,A,clean,none,160,pypdfium2-5.12.1,0,0,1,,53a47089bc2ad4a8c0de46ad66f101e814ff57c0a771984640760086df821901,data/source_text/MEL-005-A.txt,data/ground_truth/MEL-005-A.json,output/pdf/clean/MEL-005-A.pdf,output/rendered/clean/MEL-005-A.png,e93f1cae5a00283a5b0c09eaf5ff81773ffda935c658420a07f2212b3dcdac2e,a2da3651eb4030e0310ac8394485b3e62c30be7c9a325c00b85c9f98e2234b65
pilot-v1,1.0.0,MEL-005,MEL-005-A,A,ocr_degraded,scan-v1,160,pypdfium2-5.12.1,-0.469,0.61,0.84,70,53a47089bc2ad4a8c0de46ad66f101e814ff57c0a771984640760086df821901,data/source_text/MEL-005-A.txt,data/ground_truth/MEL-005-A.json,output/pdf/ocr_degraded/MEL-005-A.pdf,output/rendered/ocr_degraded/MEL-005-A.png,8d5743cb6eea88ad474ab14cfa054264e1c7c9aea58882dd7608150ef4870948,2f480a2719fe83e19662e6adef21cd5e8b39d50235cf8a157ebe13bcc0a6a444
pilot-v1,1.0.0,MEL-005,MEL-005-B,B,clean,none,160,pypdfium2-5.12.1,0,0,1,,53a47089bc2ad4a8c0de46ad66f101e814ff57c0a771984640760086df821901,data/source_text/MEL-005-B.txt,data/ground_truth/MEL-005-B.json,output/pdf/clean/MEL-005-B.pdf,output/rendered/clean/MEL-005-B.png,eb85a9c41b6b2792d34e3a5df43df4cbc0a68ca906975adf88323c3359f038b7,012c1badaadff5949f47afd441710c7f0c5ef8942209aa705a4e29f895a031df
pilot-v1,1.0.0,MEL-005,MEL-005-B,B,ocr_degraded,scan-v1,160,pypdfium2-5.12.1,0.585,0.552,0.89,71,53a47089bc2ad4a8c0de46ad66f101e814ff57c0a771984640760086df821901,data/source_text/MEL-005-B.txt,data/ground_truth/MEL-005-B.json,output/pdf/ocr_degraded/MEL-005-B.pdf,output/rendered/ocr_degraded/MEL-005-B.png,9726a371b14768fceac5b7a111a26716e78d9d809becb0716746e8834d0fd57b,d615bf76df1820b39978df8f86c15fbe108399d675347715802bfe5d0d0cb65d
pilot-v1,1.0.0,MEL-006,MEL-006-A,A,clean,none,160,pypdfium2-5.12.1,0,0,1,,c6673b3c4aa49e4a3adf8bb29ffba301ecbc899b95623fe6889092b1e2d68035,data/source_text/MEL-006-A.txt,data/ground_truth/MEL-006-A.json,output/pdf/clean/MEL-006-A.pdf,output/rendered/clean/MEL-006-A.png,97bfbd818c33708b8a4fefb122f440087dd3e5a4e4114b66d7dc9ba98812e789,21780282dbf17255dbab3f39656195886ef89b41f2d375b8964ee0954d5fa30e
pilot-v1,1.0.0,MEL-006,MEL-006-A,A,ocr_degraded,scan-v1,160,pypdfium2-5.12.1,-0.515,0.809,0.822,60,c6673b3c4aa49e4a3adf8bb29ffba301ecbc899b95623fe6889092b1e2d68035,data/source_text/MEL-006-A.txt,data/ground_truth/MEL-006-A.json,output/pdf/ocr_degraded/MEL-006-A.pdf,output/rendered/ocr_degraded/MEL-006-A.png,424a142cd8909b245f295ac174668a2f2f16ccd1f97fb45447774dd1a629b623,20484bdd8514116a068f1de3d2db08e9aaf8baec7e450b2dd6edd952fe04eff7
pilot-v1,1.0.0,MEL-006,MEL-006-B,B,clean,none,160,pypdfium2-5.12.1,0,0,1,,c6673b3c4aa49e4a3adf8bb29ffba301ecbc899b95623fe6889092b1e2d68035,data/source_text/MEL-006-B.txt,data/ground_truth/MEL-006-B.json,output/pdf/clean/MEL-006-B.pdf,output/rendered/clean/MEL-006-B.png,603f62e63c7e38141ec8cebd88e0c42459c8f179cd85b0860128bd267bc0319b,9d004fab807209af7613a81aba7362db502172c34ca90007fabb14ea6397bbf6
pilot-v1,1.0.0,MEL-006,MEL-006-B,B,ocr_degraded,scan-v1,160,pypdfium2-5.12.1,-0.582,0.632,0.832,61,c6673b3c4aa49e4a3adf8bb29ffba301ecbc899b95623fe6889092b1e2d68035,data/source_text/MEL-006-B.txt,data/ground_truth/MEL-006-B.json,output/pdf/ocr_degraded/MEL-006-B.pdf,output/rendered/ocr_degraded/MEL-006-B.png,27af810a89bb6e651deb3ab43be217d27937194c592ccea95ea028d1453e0d3c,b7f97cd6c3130bd563c8fb786c4e5144d237ee4abc003c0fbc359e2d9968f00c
pilot-v1,1.0.0,MEL-007,MEL-007-A,A,clean,none,160,pypdfium2-5.12.1,0,0,1,,d4bac8cb81dd9ddd26e9fa7760d348bef09f9fb975c046e8e37cb108a1c869bc,data/source_text/MEL-007-A.txt,data/ground_truth/MEL-007-A.json,output/pdf/clean/MEL-007-A.pdf,output/rendered/clean/MEL-007-A.png,4f5cb7200b4bd482e16c94d525202def321a37ef6f98b1bc93d51edad99dff05,22cf17de41ce6afef6223979530156965e82008ab8cf161f25d05e14ed576c78
pilot-v1,1.0.0,MEL-007,MEL-007-A,A,ocr_degraded,scan-v1,160,pypdfium2-5.12.1,-0.382,0.663,0.854,63,d4bac8cb81dd9ddd26e9fa7760d348bef09f9fb975c046e8e37cb108a1c869bc,data/source_text/MEL-007-A.txt,data/ground_truth/MEL-007-A.json,output/pdf/ocr_degraded/MEL-007-A.pdf,output/rendered/ocr_degraded/MEL-007-A.png,f3f87c4013d3d7bd33f43ea0701066cdd31ab746dad011faff3b4daa7a6c4524,cc5a636e98e973556226c97392ca8a28d9536d43f67578f04983fe555a0f2068
pilot-v1,1.0.0,MEL-007,MEL-007-B,B,clean,none,160,pypdfium2-5.12.1,0,0,1,,d4bac8cb81dd9ddd26e9fa7760d348bef09f9fb975c046e8e37cb108a1c869bc,data/source_text/MEL-007-B.txt,data/ground_truth/MEL-007-B.json,output/pdf/clean/MEL-007-B.pdf,output/rendered/clean/MEL-007-B.png,2032d87a30c94909546b2051f746b880c9d136098a3804853149560d3f7e8cca,daaf09133ce51fa6ab3d685849f3fa73019360a181aee55ded0d54234ae69e9b
pilot-v1,1.0.0,MEL-007,MEL-007-B,B,ocr_degraded,scan-v1,160,pypdfium2-5.12.1,0.588,0.556,0.836,65,d4bac8cb81dd9ddd26e9fa7760d348bef09f9fb975c046e8e37cb108a1c869bc,data/source_text/MEL-007-B.txt,data/ground_truth/MEL-007-B.json,output/pdf/ocr_degraded/MEL-007-B.pdf,output/rendered/ocr_degraded/MEL-007-B.png,9229bd5643fa7cbe8616b82223549d225e3b0e835b27b3c83be0944ec50f3b4b,e69896d394c8fe079da916dbd344e177af7ce281433dfdf46442eda7f0ef6b2d
pilot-v1,1.0.0,MEL-008,MEL-008-A,A,clean,none,160,pypdfium2-5.12.1,0,0,1,,21292d0b789f816446ce0009d1370d5ea5519268f01813045576ce3b83b74344,data/source_text/MEL-008-A.txt,data/ground_truth/MEL-008-A.json,output/pdf/clean/MEL-008-A.pdf,output/rendered/clean/MEL-008-A.png,a684451b9d745455de4d3b5a5b3d2297352764ea63dfcbd99529110cc6f7e687,9c87a3e6712a35b3ce83a2dc89f22c7b3c2fd7184375c9bc88197f54f5f1d626
pilot-v1,1.0.0,MEL-008,MEL-008-A,A,ocr_degraded,scan-v1,160,pypdfium2-5.12.1,0.617,0.796,0.849,61,21292d0b789f816446ce0009d1370d5ea5519268f01813045576ce3b83b74344,data/source_text/MEL-008-A.txt,data/ground_truth/MEL-008-A.json,output/pdf/ocr_degraded/MEL-008-A.pdf,output/rendered/ocr_degraded/MEL-008-A.png,78659c0233e2b345200c31ada8cbf3a501e2833f76e8256b120adbdad32fd1d2,16f7860ccf98b5b18b6cc26359c3efba366b4bb4b3f00e9cd4918314c39884c5
pilot-v1,1.0.0,MEL-008,MEL-008-B,B,clean,none,160,pypdfium2-5.12.1,0,0,1,,21292d0b789f816446ce0009d1370d5ea5519268f01813045576ce3b83b74344,data/source_text/MEL-008-B.txt,data/ground_truth/MEL-008-B.json,output/pdf/clean/MEL-008-B.pdf,output/rendered/clean/MEL-008-B.png,27184b94b3fa1214f05bb2fedb7cb4b66c97a0b46ca37f3a8b43c4a7efe71325,31aa1b63e12e326b824738ff3dd9a72cef97865b295d9a169eaff0414fe32305
pilot-v1,1.0.0,MEL-008,MEL-008-B,B,ocr_degraded,scan-v1,160,pypdfium2-5.12.1,-0.431,0.724,0.875,60,21292d0b789f816446ce0009d1370d5ea5519268f01813045576ce3b83b74344,data/source_text/MEL-008-B.txt,data/ground_truth/MEL-008-B.json,output/pdf/ocr_degraded/MEL-008-B.pdf,output/rendered/ocr_degraded/MEL-008-B.png,f33dd87e1d8e73ec5a50484f7930edd02beb38005883e469d23c7c08c844dc75,97bbafb8c893c258a844d23397f9287d8c106eaaa8d3618e061ae10615402efa
